wait_time_id,reporting_level,province,region,indicator,metric,data_year,unit_of_measurement,indicator_result
289,Provincial,Newfoundland And Labrador,Provincial,Prostate Cancer Surgery,90th Percentile,2008,Days,
290,Provincial,Newfoundland And Labrador,Provincial,Prostate Cancer Surgery,Volume,2008,Number of cases,
291,Provincial,Newfoundland And Labrador,Provincial,Radiation Therapy,% Meeting Benchmark,2008,Proportion,85.0
292,Provincial,Newfoundland And Labrador,Provincial,Radiation Therapy,50th Percentile,2008,Days,
293,Provincial,Newfoundland And Labrador,Provincial,Radiation Therapy,90th Percentile,2008,Days,
294,Provincial,Newfoundland And Labrador,Provincial,Radiation Therapy,Volume,2008,Number of cases,823.0
295,Provincial,Nova Scotia,Provincial,Bladder Cancer Surgery,50th Percentile,2008,Days,
296,Provincial,Nova Scotia,Provincial,Bladder Cancer Surgery,90th Percentile,2008,Days,
297,Provincial,Nova Scotia,Provincial,Bladder Cancer Surgery,Volume,2008,Number of cases,
298,Provincial,Nova Scotia,Provincial,Breast Cancer Surgery,50th Percentile,2008,Days,
299,Provincial,Nova Scotia,Provincial,Breast Cancer Surgery,90th Percentile,2008,Days,
300,Provincial,Nova Scotia,Provincial,Breast Cancer Surgery,Volume,2008,Number of cases,
301,Provincial,Nova Scotia,Provincial,CABG,% Meeting Benchmark,2008,Proportion,100.0
302,Provincial,Nova Scotia,Provincial,CABG,50th Percentile,2008,Days,26.0
303,Provincial,Nova Scotia,Provincial,CABG,90th Percentile,2008,Days,65.0
304,Provincial,Nova Scotia,Provincial,CABG,Volume,2008,Number of cases,91.0
305,Provincial,Nova Scotia,Provincial,Cataract Surgery,% Meeting Benchmark,2008,Proportion,75.0
306,Provincial,Nova Scotia,Provincial,Cataract Surgery,50th Percentile,2008,Days,54.0
307,Provincial,Nova Scotia,Provincial,Cataract Surgery,90th Percentile,2008,Days,199.0
308,Provincial,Nova Scotia,Provincial,Cataract Surgery,Volume,2008,Number of cases,4686.0
309,Provincial,Nova Scotia,Provincial,Colorectal Cancer Surgery,50th Percentile,2008,Days,
310,Provincial,Nova Scotia,Provincial,Colorectal Cancer Surgery,90th Percentile,2008,Days,
311,Provincial,Nova Scotia,Provincial,Colorectal Cancer Surgery,Volume,2008,Number of cases,
